ids,lon,lat,roms_separation(km/day),roms_separation(km/km)
66381,-69.10093946,43.45635671,69.41,0.18
66381,-68.95595194,43.45869011,66.42,0.18
66381,-68.88777978,43.50414514,79.44,0.22
66381,-68.85252798,43.31898209,62.69,0.18
66381,-68.74341544,43.19396292,56.35,0.16
66381,-68.64898502,43.17820224,62.64,0.18
66381,-68.60255927,43.13136644,57.67,0.16
66381,-68.58470568,43.19005561,54.73,0.15
66381,-68.49440031,43.15510664,54.11,0.14
66381,-68.64677675,43.05824902,44.92,0.11
66381,-68.75921597,43.09521064,39.98,0.1
66381,-68.78485103,42.99041094,41.17,0.1
66381,-68.74489681,42.99246364,38.57,0.09
66381,-68.83428007,42.99297112,28.27,0.07
66381,-68.86270446,42.89698659,41.63,0.1
66381,-68.86753275,42.93010492,62.53,0.14
66381,-68.89455733,42.98421275,89.4,0.18
66383,-68.41865271,43.89004826,55.37,0.16
66383,-68.52359178,43.78898804,56.11,0.15
66383,-68.59681113,43.6037151,53.64,0.14
66383,-68.53050385,43.40415609,25.99,0.07
66383,-68.49566348,43.36050682,26.53,0.07
66383,-68.58495358,43.18944311,36.14,0.09
66383,-68.54411902,43.12012053,32.52,0.08
66383,-68.50814632,43.15423124,36.13,0.08
66383,-68.41129599,43.15106903,38.47,0.09
66383,-68.26450802,43.121072,42.27,0.09
66383,-68.11638652,43.11129186,60.41,0.13
66383,-68.06793386,43.08558746,38.75,0.08
66383,-67.94696854,43.15549391,31.34,0.06
66383,-67.81407453,43.14449877,39.71,0.08
66383,-67.79756932,43.15646754,38.11,0.07
66383,-67.66040382,43.23001126,42.31,0.08
66383,-67.57369068,43.22833939,76.57,0.13
66383,-67.45495141,43.33091056,71.37,0.12
66383,-67.36206868,43.37534743,41.72,0.06
66383,-67.13690323,43.40418357,26.65,0.04
66383,-66.44657531,44.18025317,282.18,0.44
66383,-66.22866041,44.53275243,313.98,0.58
66383,-66.43239058,44.51730033,276.63,0.56
66383,-66.61461282,44.52064073,77.09,0.18
66383,-67.07486689,44.47351631,28.62,0.08
66383,-67.4584367,44.40050163,52.16,0.15
66383,-67.76914936,44.28555178,61.48,0.18
66383,-67.99366123,44.23382045,66.31,0.19
66383,-68.14137472,44.07469773,83.49,0.25
