ids,lon,lat,roms_separation(km/day),roms_separation(km/km)
66467,-66.24685063,44.78323841,35.51,0.07
66467,-66.33231149,44.8159687,51.32,0.1
66467,-66.39497839,44.84347042,57.97,0.11
66467,-66.49644462,44.82853137,74,0.14
66467,-66.58508,44.75665071,87.49,0.15
66467,-66.55503055,44.62568635,100.41,0.17
66467,-66.41800279,44.5835336,122.61,0.21
66467,-66.33225636,44.62679374,125.65,0.21
66467,-66.29087693,44.71958548,147.23,0.26
66467,-66.34432791,44.78296268,132.08,0.24
66467,-66.39562383,44.83770629,140.18,0.26
66467,-66.35368737,44.89124752,157.65,0.29
66467,-66.32902675,44.92857824,170.37,0.33
66467,-66.35535302,44.95096104,174.66,0.36
66467,-66.39504576,44.95352748,194.48,0.41
66467,-66.468548,44.90610907,225.51,0.5
66467,-66.59958673,44.82684279,235.37,0.55
66467,-66.64299754,44.74353058,243.32,0.59
66467,-66.62372744,44.51875359,198.01,0.52
66467,-67.01011092,44.44706426,84.16,0.26
66467,-67.18016286,44.3973382,85.2,0.3
66467,-67.53678184,44.3247049,83.44,0.32
66467,-67.84856418,44.16947706,50.7,0.21
66467,-67.97362629,44.14280334,49.37,0.21
66467,-68.05700654,44.13413227,35.09,0.16
66467,-68.18428295,44.0758952,46.75,0.22
66467,-68.32338207,43.99574731,34.27,0.17
66467,-68.36693297,43.98157313,35.99,0.18
66467,-68.43831898,43.92621592,40.92,0.2
66467,-68.522947,43.77320839,144.63,0.78
66467,-68.62427529,43.74511845,91.08,0.52
66467,-68.75852655,43.79506816,27.36,0.16
66467,-68.85166537,43.77722604,70.22,0.41
66467,-69.01310627,43.66363643,29.69,0.19
66467,-69.13177957,43.48727018,38.73,0.28
66469,-66.17680895,44.58576632,76.85,0.1
66469,-66.16064034,44.72906894,70.96,0.09
66469,-66.17475652,44.86763311,48.17,0.06
66469,-66.12462106,44.92929481,55.21,0.07
66469,-66.02997592,44.96549006,54.77,0.06
75464,-66.54298055,44.81890221,87.35,0.14
75464,-66.60680431,44.76168937,97.34,0.15
75464,-66.55321006,44.65572048,109.8,0.17
75464,-66.52450395,44.57897546,127.45,0.2
75464,-66.4991255,44.60450306,153.15,0.24
75464,-66.45632966,44.62458371,175.66,0.27
75464,-66.44679496,44.67561108,168.6,0.27
75464,-66.49248616,44.69181452,150.85,0.24
75464,-66.51695416,44.64701491,111.18,0.18
75464,-66.42050853,44.53669358,87.65,0.15
75464,-66.54898495,44.4815706,67.78,0.13
75464,-66.49560443,44.53868079,83.67,0.17
75464,-66.57426839,44.64003208,76.92,0.17
75464,-66.96275456,44.50013196,133.67,0.33
75464,-67.22094459,44.33358177,152.84,0.39
75464,-67.37685915,44.20647146,161.47,0.41
75464,-67.49740626,44.13887643,168.63,0.44
75464,-67.62133321,44.07716281,165.59,0.43
75464,-67.84290573,43.9618638,168.84,0.43
75464,-68.13495477,43.68613725,118.9,0.32
75464,-68.47527219,43.42787155,111.17,0.3
75464,-68.71899095,43.44369147,140.24,0.37
75464,-68.75288008,43.53937796,147.66,0.38
75464,-68.64186159,43.58124947,129.17,0.32
75464,-68.5927449,43.71850079,161.18,0.39
75464,-68.48398888,43.67451256,128.3,0.3
75464,-68.42137907,43.44708029,94.21,0.22
75464,-68.26569917,43.27410235,91.71,0.21
75464,-68.07832144,43.16602035,122.7,0.26
75464,-67.92806527,43.09542324,146.2,0.3
75464,-67.76095597,42.91847883,174.79,0.36
75464,-67.67145981,42.86701427,188.55,0.36
75464,-67.65022122,42.87999621,202.99,0.38
75464,-67.41231282,42.90896762,168.96,0.32
75464,-67.21264049,42.92531696,155.41,0.29
75464,-66.95081724,43.05778672,135.46,0.25
75464,-66.99050649,43.02351768,154.45,0.27
75464,-67.03226264,43.05522519,176.26,0.31
75464,-67.091344,43.04212218,181.92,0.31
75464,-67.06832435,43.04001487,172.17,0.3
75464,-67.0473534,43.04550641,165.86,0.29
75464,-67.10743377,43.14475234,75.26,0.13
75464,-66.86091235,43.3477467,94.82,0.17
75464,-66.66361922,43.52005402,100.73,0.19
75464,-66.58539963,43.650494,163.91,0.32
75464,-66.75714626,43.69799631,93.8,0.19
75464,-66.93263431,43.67902242,110.23,0.24
75464,-66.9947463,43.8275156,117.07,0.26
75464,-67.05777722,43.94588665,82.81,0.19
75464,-67.08364487,44.04812836,24.02,0.06
