ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
47472,-69.04013717,43.20314523,58.53,0.16
47472,-69.13812349,43.23717218,63.93,0.18
65204,-66.37354985,42.57320792,70.54,0.1
65204,-66.55491013,42.68081342,119.53,0.17
65204,-66.40708289,42.70323794,50.76,0.07
65204,-66.489616,42.78925572,52.1,0.08
65204,-66.22819664,42.74330533,63.34,0.1
65204,-66.03092745,42.76164188,92.95,0.15
65204,-65.85168457,42.76629563,99.6,0.17
65204,-65.8592795,42.78918424,102.17,0.19
65204,-65.96754137,42.95191218,78.72,0.15
65204,-66.1798003,43.01765956,49.89,0.1
65204,-66.1355888,43.1825991,49.68,0.1
65204,-66.29918608,43.14780274,42.76,0.1
65204,-66.21654577,43.04981733,42.64,0.1
65204,-66.08999474,43.13425353,19.88,0.05
65204,-65.78217564,43.12176346,118.6,0.31
65204,-65.71694714,43.12383738,126.03,0.35
65204,-65.54425273,43.16474088,64.84,0.18
65204,-65.34061626,43.16697687,78.88,0.23
65206,-65.76443592,42.53389818,248.41,0.45
65206,-65.60870259,42.5411882,77.84,0.15
65295,-65.79035382,42.51951592,196.53,0.46
65295,-65.6552471,42.69308214,143.39,0.35
65295,-65.62217611,42.71472844,174.34,0.44
65295,-65.56262818,42.73338692,126.62,0.32
66203,-67.97306897,42.95357572,88.2,0.18
66203,-67.94481144,43.03557542,110.09,0.22
66203,-67.74117454,43.06873695,116.69,0.23
66203,-67.86923035,42.9977809,141.31,0.28
66207,-67.02360642,42.87072987,170.74,0.36
66381,-68.98835818,43.84551169,174.07,0.58
66381,-69.04605647,43.78793168,173.52,0.59
66381,-69.36182186,43.81739244,94.29,0.31
66381,-69.55262669,43.68562458,112.08,0.37
66381,-69.64741038,43.51419361,105.73,0.36
66381,-69.67903163,43.42985422,92.6,0.31
66381,-69.70406644,43.38463761,51.73,0.17
66381,-69.67162898,43.29186951,36.18,0.12
66381,-69.75094566,43.32266394,51.81,0.17
66381,-69.8395886,43.25795983,22.7,0.07
66381,-69.70170734,43.2651565,57.06,0.18
66381,-69.59028382,43.37496457,68.69,0.21
66381,-69.47334917,43.47823635,65.48,0.19
66381,-69.58966073,43.54615396,58.73,0.17
66381,-69.71408928,43.50737932,26.28,0.07
66381,-69.7139377,43.48368727,22.62,0.06
66381,-69.64294864,43.49298056,44.83,0.12
66381,-69.81156772,43.52327039,65.37,0.18
66381,-69.75548916,43.63032856,53.02,0.14
66381,-69.66564465,43.56164274,38.11,0.1
66381,-69.68052777,43.52743843,99.2,0.26
66381,-69.66202955,43.53483596,106.54,0.28
66381,-69.52546704,43.54247509,42.18,0.11
66381,-69.35859997,43.46250002,37.12,0.1
66381,-69.10093946,43.45635671,57.75,0.15
66381,-68.95595194,43.45869011,67.19,0.18
66381,-68.88777978,43.50414514,64.37,0.18
66381,-68.85252798,43.31898209,82.85,0.24
66381,-68.74341544,43.19396292,89.57,0.25
66381,-68.64898502,43.17820224,83.64,0.24
66381,-68.60255927,43.13136644,102.08,0.28
66381,-68.58470568,43.19005561,85.86,0.23
66381,-68.49440031,43.15510664,74.61,0.19
66381,-68.64677675,43.05824902,155.91,0.4
66381,-68.75921597,43.09521064,160.69,0.41
66381,-68.78485103,42.99041094,149.02,0.36
66381,-68.74489681,42.99246364,170.29,0.42
66381,-68.83428007,42.99297112,151.12,0.35
66381,-68.86270446,42.89698659,143.62,0.33
66381,-68.86753275,42.93010492,110.43,0.24
66381,-68.89455733,42.98421275,55.28,0.11
66383,-68.41865271,43.89004826,31.68,0.09
66383,-68.52359178,43.78898804,26.92,0.07
66383,-68.59681113,43.6037151,11.18,0.03
66383,-68.53050385,43.40415609,27.67,0.07
66383,-68.49566348,43.36050682,41.5,0.1
66383,-68.58495358,43.18944311,91.5,0.23
66383,-68.54411902,43.12012053,88.31,0.21
66383,-68.50814632,43.15423124,108.15,0.25
66383,-68.41129599,43.15106903,123.25,0.28
66383,-68.26450802,43.121072,134.26,0.29
66383,-68.11638652,43.11129186,138.52,0.29
